Indicator Code,Indicator Name,Definition,Topic,Periodicity
IC.FRM.EMP.GROW.PEFT2,Annual employment growth (%),"Annualized growth of permanent full-time workers expressed as a percentage. Annual employment growth is the change in full-time employment reported in the current fiscal year from a previous period. For most countries the difference between the two fiscal year periods is two years. However, for some countries the interval is three years. Hence, an annualized measure is used.",Performance,Annual
IC.FRM.BRIB.GRAFT2,Bribery depth (% of public transactions where a gift or informal payment was requested),"The depth of Bribery is the percentage of instances in which a firm was either expected or requested to provide a gift or informal payment during solicitations for public services, licenses or permits. This measure uses data from 6 survey questions for each firm. For purposes of computation, a refusal to answer a particular survey question is considered an affirmative answer.",Corruption,Annual
IC.FRM.INFRA.IN10_C,"If a generator is used, average proportion of electricity from a generator (%)","If a generator is used, what percentage of electricity comes from a generator",Infrastructure,Annual
IC.FRM.CRM.CRIME2_C,"If the establishment pays for security, average security costs (% of annual sales)",Average security costs as a percentage of total annual sales for firms that pay for security.,Crime,Annual
IC.FRM.CRM.CRIME3_C,"If there were losses, average losses due to theft and vandalism (% of annual sales)","If there were losses, estimated losses as a result of theft, robbery, vandalism or arson that occurred on establishmentâ€™s premises calculated as a percentage of annual sales.",Crime,Annual
IC.FRM.INFRA.IN4_C,"If there were outages, average losses due to electrical outages (% of annual sales)","If there were outages, average losses due to electrical outages, as percentage of total annual sales.",Infrastructure,Annual
IC.FRM.REG.REG2_C,"If there were visits, average number of visits or required meetings with tax officials","If there were a positive number of visits or required meeting with tax officials, what was the average number?",Regulations and Taxes,Annual
IC.FRM.FIAS.PEFT4,Percent of firms buying fixed assets,"Percent of firms buying fixed assets such as machinery, equipment, land or buildings.",Performance,Annual
IC.FRM.OBS.OBST1,Percent of firms choosing access to finance as their biggest obstacle,Percentage of establishments that consider access to finance to be the Biggest Obstacle,Biggest Obstacle,Annual
IC.FRM.OBS.OBST4,Percent of firms choosing corruption as their biggest obstacle,Percentage of establishments that consider corruption to be the Biggest Obstacle.,Biggest Obstacle,Annual
IC.FRM.OBS.OBST8,Percent of firms choosing electricity as their biggest obstacle,Percentage of establishments that consider electricity to be the Biggest Obstacle.,Biggest Obstacle,Annual
IC.FRM.OBS.OBST12,Percent of firms choosing practices of the informal sector as their biggest obstacle,Percentage of establishments that consider practices of competitors in the informal sector to be the Biggest Obstacle.,Biggest Obstacle,Annual
IC.FRM.OBS.OBST13,Percent of firms choosing tax administration as their biggest obstacle,Percentage of establishments that consider the tax administration to be the Biggest Obstacle.,Biggest Obstacle,Annual
IC.FRM.OBS.OBST14,Percent of firms choosing tax rates as their biggest obstacle,Percentage of establishments that consider tax rates to be the Biggest Obstacle.,Biggest Obstacle,Annual
IC.FRM.INFOR.INFOR1,Percent of firms competing against unregistered or informal firms,Percentage of firms competing against unregistered or informal firms.,Informality,Annual
IC.FRM.CORR.CORR1,Percent of firms expected to give gifts in meetings with tax officials,Percentage of firms expected to give gifts or informal payments during meetings with tax officials.,Corruption,Annual
IC.FRM.TRD.TR16,Percent of firms exporting directly (at least 10% of sales),Percentage of firms that export directly at least 10% of their total annual sales.,Trade,Annual
IC.FRM.TRD.TR17,Percent of firms exporting directly or indirectly (at least 10% of sales),Percentage of firms that export directly or indirectly at least 10% of their total annual sales.,Trade,Annual
IC.FRM.FIN.FIN16,Percent of firms identifying access to finance as a major constraint,"Percentage of firms identifying access/cost of finance as a ""major"" or ""very severe"" obstacle.",Finance,Annual
IC.FRM.WRKF.WK10,Percent of firms identifying an inadequately educated workforce as a major constraint,Percentage of firms identifying labor skill level as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.,Workforce,Annual
IC.FRM.REG.BUS5,Percent of firms identifying business licensing and permits as a major constraint,"Percentage of firms identifying business licensing and permits as ""major"" or ""very severe"" obstacle.",Regulations and Taxes,Annual
IC.FRM.CORR.CORR11,Percent of firms identifying corruption as a major constraint,"Percentage of firms identifying corruption as a ""major"" or ""very severe"" obstacle.",Corruption,Annual
IC.FRM.CRM.CRIME8,"Percent of firms identifying crime, theft and disorder as a major constraint","Percentage of firms identifying crime, theft and disorder as a major"" or ""very severe"" obstacle.""",Crime,Annual
IC.FRM.TRD.TR9,Percent of firms identifying customs and trade regulations as a major constraint,"Percentage of firms identifying customs and trade regulations as a ""major"" or ""very severe"" obstacle.",Trade,Annual
IC.FRM.INFRA.IN12,Percent of firms identifying electricity as a major constraint,Percentage of firms identifying electricity as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.,Infrastructure,Annual
IC.FRM.WRKF.WK9,Percent of firms identifying labor regulations as a major constraint,"Percentage of firms identifying labor regulations as a ""major"" or ""very severe"" obstacle.",Workforce,Annual
IC.FRM.INFOR.INFOR2,Percent of firms identifying practices of competitors in the informal sector as a major constraint,Percentage of firms identifying practices of competitors in the informal sector as major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.,Informality,Annual
IC.FRM.REG.REG5,Percent of firms identifying tax administration as a major constraint,"Percentage of firms identifying tax administration as a ""major"" or ""very severe"" obstacle.",Regulations and Taxes,Annual
IC.FRM.REG.REG4,Percent of firms identifying tax rates as a major constraint,"Percentage of firms identifying tax rates as a ""major"" or ""very severe"" obstacle.",Regulations and Taxes,Annual
IC.FRM.CORR.CRIME9,Percent of firms identifying the courts system as a major constraint,Percentage of firms identifying functioning of the courts as major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.,Corruption,Annual
IC.FRM.INFRA.IN11,Percent of firms identifying transportation as a major constraint,Percentage of firms identifying transportation as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.,Infrastructure,Annual
IC.FRM.FIN.FIN20,Percent of firms not needing a loan,Percent of firms that did not apply for a loan in the last fiscal year because they did not need a loan. The denominator is the number of firms who did and did not apply for a loan. The numerator is the number of firms who did not apply for a loan and also stated that they did not need a loan.,Finance,Annual
IC.FRM.CRM.CRIME1,Percent of firms paying for security,"Percentage of firms paying for security, for example equipment, personnel, or professional security services.",Crime,Annual
IC.FRM.FIN.FIN12,Percent of firms using banks to finance investments,Percentage of firms using banks to finance purchases of fixed assets.,Finance,Annual
IC.FRM.FIN.FIN13,Percent of firms using banks to finance working capital,Percentage of firms using bank loans to finance working capital.,Finance,Annual
IC.FRM.FIN.FIN22,Percent of firms using supplier/customer credit to finance working capital,Percentage of firms using credit from suppliers and advances from customers to finance working capital.,Finance,Annual
